S & M MKT,10 ROCHESTER RD,OAKLAND TWP,48363,42.766475,-83.15418
BLUE DOG PARTY PLACE,49108 GRATIOT AVE,CHESTERFIELD,48051,42.660833,-82.844298
OAKWOOD MARKET,2487 OAKWOOD RD,OXFORD,48371,42.870028,-83.234973
LUXURY LANES,600 E NINE MILE RD,FERNDALE,48220,42.460334,-83.12572
HURON POINTE PARTY STORE,29965 S RIVER RD,HARRISON TWP,48045,42.589612,-82.810198
SKIP'S MARKET,8817 TEN MILE RD,CENTERLINE,48015,42.481246,-83.030767
MEADOWS FINE WINE,21099 FARMINGTON RD,FARMINGTON HILL,48336,42.465835,-83.346878
ANDY'S COUNTRY MKT.,22595 MIDDLEBELT RD,FARMINGTON HILL,48336,42.465835,-83.346878
BURTON CORNERS PARTY STOR,6007 W M-21 HWY,OWOSSO,48867,42.997805,-84.176636
FREDDIE'S PARTY STORE,116 S WASHINGTON ST,OWOSSO,48867,42.996883,-84.170705
CMS FUELING CENTER,373 LAKE NEPESSING RD,LAPEER,48446,43.034952,-83.360826
BRASS MUG LIQUOR OF NORTH,4484-4490 HURON,NORTH BRANCH,48461,43.229471,-83.196612
BAKERS MARKET,4006 N IRISH RD,DAVISON,48423,43.063272,-83.557164
KEN'S BUGGY STOP,106 N MAIN ST,OVID,48866,43.005158,-84.371726
A&B OF DAVISON,8463 DAVISON,DAVISON,48423,43.034749,-83.518006
FOOD CASTLE #2,3035 E GRAND BLANC RD,GRAND BLANC,48439,42.916716,-83.650288
METAMORA BP,3839 S. LAPEER RD,METAMORA,48455,42.945859,-83.3131
ALPINE GROCERY,604 W BROAD ST,LINDEN,48451,42.813227,-83.78992
RIVERSIDE MARKET #2,311 N OAK ST,DURAND,48429,42.91374,-83.98834
NEHRINGS MARKET,3517 S BELSAY RD,BURTON,48519,42.976038,-83.593235
MOBIL X,3983 VAN DYKE RD,ALMONT,48003,42.949655,-83.056589
GOURMET WINE SHOPPE,3909 OWEN RD,FENTON,48430,42.789068,-83.745808
V & B MARKET,5011 E MT MORRIS RD,MT MORRIS,48458,42.771563,-77.89383
FOOD PLUS PARTY STORE 1,1052 E MAPLE AVE,FLINT,48507,42.959364,-83.690613
LOCKE'S PARTY STORE,1228 N LEROY ST,FENTON,48430,42.811308,-83.706423
LAPEER WINE & SPIRITS,543 S MAIN ST,LAPEER,48446,43.04483,-83.319401
OLIVER T'S,1553 E HILL RD,GRAND BLANC,48439,42.94491,-83.67153
RANDY'S,5272 MILLER RD,FLINT,48507,42.97394,-83.78154
SAM'S FOOD MARKET,5016 RICHFIELD RD,FLINT,48506,43.050941,-83.615496
STARR MART,G 4226 FENTON RD,FLINT,48507,42.967828,-83.693182
GEORGIE'S CORNER,8020 FENTON RD,GRAND BLANC,48439,42.914479,-83.691333
MCDOWELLS VILLAGE EAST,9518 E GENESSE ST.,NEW LOTHROP,48460,43.116695,-83.969967
ZIP'S PARTY STORE,3355 S STATE RD,DAVISON,48423,42.981257,-83.506199
MEIJER #244,8089 LAPEER RD,DAVISON,48423,43.014791,-83.552481
WOOD CHIPS,315 WEST NEPESSING RD,LAPEER,48446,43.054119,-83.311778
WHIGVILLE MARKET,6039 DORT HWY,GRAND BLANC,48439,42.943677,-83.651852
ERNIES BEER & WINE,13167 N SAGINAW RD,CLIO,48420,43.195954,-83.72922
NORTHSHORE MARKET,16177 SEYMOUR,LINDEN,48451,42.814473,-83.782453
ROYAL LIQUOR,808 S CENTER,FLINT,48506,43.012527,-83.687456
MEIJER #44,2474 W HILL RD,FLINT,48507,42.944375,-83.727638
GALAXY LANES,2226 E HILL RD,GRAND BLANC,48439,42.942511,-83.663788
VALLEY LIQUOR,11741 N SAGINAW,MT. MORRIS,48458,43.118637,-83.694958
RPF OIL,8365 SILVER LAKE,LINDEN,48451,42.814473,-83.782453
THE BARN,715 TORREY RD,FENTON,48430,42.805293,-83.725013
PETRO MART,1117 BELSAY RD,BURTON,48507,43.015882,-83.59465
P.V.J. VIC'S INC.,10211 N CLIO RD,CLIO,48420,43.154048,-83.735091
THE ROCK MINI MART,7504 DAVISON RD,DAVISON,48423,43.033667,-83.557132
BUBBA O'MALLEY'S,1076 S BELSAY RD,BURTON,48509,43.01694,-83.596282
HICKORY LOUNGE,311 CORUNNA AVE,OWOSSO,48867,42.992361,-84.168248
CLIO LIQUOR AND LOTTO,2181 W VIENNA,CLIO,48420,43.177526,-83.734127
HADLEY GENERAL STORE,3510 HADLEY RD,HADLEY,48440,42.95419,-83.403703
MEIJER #113,2591 E M-21 HWY,CORUNNA,48817,42.981973,-84.117745
MEIJER #140,1555 DEMILLE RD,LAPEER,48446,43.040626,-83.326553
VIC'S MARKET,8592 N SEYMOUR RD,FLUSHING,48433,43.132774,-83.877723
RIVERSIDE MARKET #1,10236 VIENNA RD,MONTROSE,48457,43.177067,-83.882052
SHORT STOP #2,1104 S ELMS RD,FLINT,48532,43.012524,-83.81285
LEN'S PARTY STORE,318 E CAPAC RD,IMLAY CITY,48444,43.030754,-83.074385
PALACE LIQUOR STORE,3609 BEECHER RD,FLINT,48503,43.010651,-83.731091
SNYDER IGA,520 N MAIN ST,PERRY,48872,42.830488,-84.219304
KOMMUNITY KRACKER BARREL,200 N MAIN ST,ALMONT,48003,42.920605,-83.045101
MATT & TERRY'S MARKET,2459 NORTH RD,FENTON,48430,42.804012,-83.724255
NORTH BRANCH BAR & GRILL,4029 HURON ST,NORTH BRANCH,48461,43.229403,-83.195041
US 23 BP,2330 GRAND BLANC RD,GRAND BLANC,48439,42.914772,-83.723436
KINGS CORNER MKT OWOSSO,701 N WASHINGTON ST,OWOSSO,48867,43.004762,-84.170557
PINE KNOB WINE SHOP,3492 S LAPEER RD,METAMORA,48455,42.959529,-83.314138
FOOD CASTLE PLAZA,10293 S. SAGINAW,GRAND BLANC,48439,42.927528,-83.629952
THE WORKS PARTY STORE,4500 W PIERSON RD,FLINT,48504,43.060984,-83.772206
CALABRIA VILLAGE,517 E BROAD ST,LINDEN,48451,42.815158,-83.775369
FRANKS FOODS,1280 IMLAY CITY RD,LAPEER,48446,43.047447,-83.28774
HARRAND'S,620 E OLIVER ST,OWOSSO,48867,43.001707,-84.162493
SMOKERS PALACE,586 S CEDAR,IMLAY CITY,48444,43.02475,-83.077715
LINDEN MARKET PLACE,6514 LINDEN RD,SWARTZ CREEK,48473,42.929122,-83.770778
CALVELLI'S EATERY & SPIRI,44 PARK,LAPEER,48446,43.051416,-83.318834
QUICK SERVE,1903 CORUNNA AVE,OWOSSO,48867,42.986609,-84.144584
RUNYAN LAKE PARTY STORE,10005 HARTLAND RD,FENTON,48430,42.752647,-83.740434
RICHFIELD BOWL,5340 RICHFIELD RD,FLINT,48506,43.051747,-83.603304
X PONY KEG,9144 N DORT HWY,MT MORRIS,48458,43.13804,-83.683973
SCOTTY LIQUOR,4496 BOWERS RD,ATTICA,48412,43.062552,-83.168599
STATE STREET FOOD & LIQUO,3500 N STATE,DAVISON,48423,43.034749,-83.518006
MEIJER #259,4141 MORRISH,SWARTZ CREEK,48473,42.957251,-83.830514
FENTON PARTY STORE,502 W SILVER LAKE RD,FENTON,48430,42.798698,-83.710344
WHISTLE STOP AMOCO,3670 NORTH BRANCH RD,NORTH BRANCH,48461,43.229471,-83.196612
CROSSROAD MARKET,800 S CHIPMAN ST,OWOSSO,48867,42.990515,-84.186712
LAST CHANCE PARTY STORE,5545 S STATE RD,GOODRICH,48438,42.947639,-83.504226
